2021-08-08 01:26:03 INFO  DriverFactory:71 - The driver executable does not exist: /Users/guptaabi/ProjectDir/xendit/src/main/java/com/test/xendit/driver\Mac\chromedriver
2021-08-08 17:04:51 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (761901a3f501bb13cb4c55d3741eb0ac)] -> id: fullframe]for time : 10
2021-08-08 17:04:51 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:10:18 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 17:10:18 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:10:18 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:10:24 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:10:24 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (aef37af296d464ce5fb99f0e703c3183)] -> id: fullframe]for time : 10
2021-08-08 17:10:25 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:12:01 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:12:01 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:12:01 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:12:09 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:12:09 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (b7f9ec72bb21b95c3a3b1b223c13edcc)] -> id: fullframe]for time : 10
2021-08-08 17:12:09 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:20:42 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:20:42 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:20:42 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:20:49 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:20:49 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (6d78b4be0a07169d8a1eca321c227185)] -> id: fullframe]for time : 10
2021-08-08 17:20:49 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:21:44 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:21:44 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:21:44 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:21:50 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:21:50 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (aa833d3caf5a73a33560edb2b77eefce)] -> id: fullframe]for time : 10
2021-08-08 17:21:50 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:24:44 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:24:44 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:24:44 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:24:51 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:24:51 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (5b51b14f5175743991b0fc7bd1433e58)] -> id: fullframe]for time : 10
2021-08-08 17:24:51 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:25:34 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 17:25:34 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:25:34 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:25:39 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:25:39 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (831f12cda058c443533b39e302a25260)] -> id: fullframe]for time : 10
2021-08-08 17:25:39 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:26:48 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:26:48 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:26:48 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:26:57 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:26:57 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (ad6fea54ab799141b102c5079f5586cc)] -> id: fullframe]for time : 10
2021-08-08 17:26:57 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:27:54 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 17:27:54 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:27:54 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:28:00 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:28:00 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (1563985858767fa334fde6fe4c499768)] -> id: fullframe]for time : 10
2021-08-08 17:28:00 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:29:11 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:29:11 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:29:11 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:29:17 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:29:17 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (8debf24b4e2a6db060be3f5d668d4e5f)] -> id: fullframe]for time : 10
2021-08-08 17:29:17 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:30:37 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 17:30:37 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:30:37 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:30:43 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:30:43 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (01dea971ea5350723a99701c0ac9d7c0)] -> id: fullframe]for time : 10
2021-08-08 17:30:43 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:32:49 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:32:49 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:32:49 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:32:53 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:32:53 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (a304c21dea60428ad2978fcd58ec5ac1)] -> id: fullframe]for time : 10
2021-08-08 17:32:53 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:34:04 INFO  TestBase:29 - Initialize Web driver: 1925352804
2021-08-08 17:34:04 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:34:04 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:34:11 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:34:11 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (5c590ccb26d8e4aab269335b9beb9deb)] -> id: fullframe]for time : 10
2021-08-08 17:34:12 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:35:54 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 17:35:54 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:35:54 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:35:59 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:35:59 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (5d9d561a7799192f9bf007228d73517f)] -> id: fullframe]for time : 10
2021-08-08 17:35:59 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 17:36:52 INFO  TestBase:29 - Initialize Web driver: 671596011
2021-08-08 17:36:52 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 17:36:52 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 17:37:04 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 17:37:04 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (11649f38987bf4ac2bdecfc65292a814)] -> id: fullframe]for time : 10
2021-08-08 17:37:04 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 18:00:38 INFO  TestBase:29 - Initialize Web driver: 247162961
2021-08-08 18:00:38 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:00:38 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:00:43 INFO  Homepage:108 - Fetch Calculator size details
2021-08-08 18:00:43 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (aa4ad42e1501a3148105f4c367741500)] -> id: fullframe]for time : 10
2021-08-08 18:00:43 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 18:01:35 INFO  TestBase:29 - Initialize Web driver: 1890266440
2021-08-08 18:01:35 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:01:35 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:01:41 INFO  Homepage:108 - Fetch Calculator size details
2021-08-08 18:01:41 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (ca0215571c1be40fd102bac3c691480c)] -> id: fullframe]for time : 10
2021-08-08 18:01:41 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 18:01:42 INFO  Homepage:108 - Fetch Calculator size details
2021-08-08 18:01:52 INFO  WaitHelper:93 - waiting for the element Proxy element for: DefaultElementLocator 'By.id: fullframe'for time : 10
2021-08-08 18:03:00 INFO  TestBase:29 - Initialize Web driver: 247162961
2021-08-08 18:03:00 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:03:01 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:03:08 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 18:03:08 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (62143623fa756f5934d951721c6d9617)] -> id: fullframe]for time : 10
2021-08-08 18:03:08 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 18:03:40 INFO  TestBase:29 - Initialize Web driver: 247162961
2021-08-08 18:03:40 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:03:40 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:03:47 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 18:03:47 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (333716b9afcbed9e4d0a82e8dfcc2a2f)] -> id: fullframe]for time : 10
2021-08-08 18:03:47 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 18:06:50 INFO  TestBase:29 - Initialize Web driver: 1890266440
2021-08-08 18:06:50 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:06:50 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:07:00 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 18:07:00 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (b89d2ba3b6335f6b32aa8c248f06d559)] -> id: fullframe]for time : 10
2021-08-08 18:07:00 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 18:08:30 INFO  TestBase:29 - Initialize Web driver: 247162961
2021-08-08 18:08:30 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:08:30 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:08:35 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 18:08:35 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (68252708bec6890bc483b6e3f2217582)] -> id: fullframe]for time : 10
2021-08-08 18:08:35 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-08 18:09:09 INFO  TestBase:29 - Initialize Web driver: 1890266440
2021-08-08 18:09:09 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:09:09 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:09:39 INFO  TestBase:29 - Initialize Web driver: 1890266440
2021-08-08 18:09:39 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-08 18:09:39 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-08 18:09:48 INFO  Homepage:42 - Fetch Calculator size details
2021-08-08 18:09:48 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (1642ded89757d06633716a738e6ae556)] -> id: fullframe]for time : 10
2021-08-08 18:09:48 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-09 01:31:16 INFO  TestBase:29 - Initialize Web driver: 1204088028
2021-08-09 01:31:16 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2021-08-09 01:31:16 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2021-08-09 01:31:25 INFO  Homepage:48 - Fetch Calculator size details
2021-08-09 01:31:25 INFO  WaitHelper:93 - waiting for the element [[ChromeDriver: chrome on MAC (d8294ee76e02a330e5d7a528a1b23f97)] -> id: fullframe]for time : 10
2021-08-09 01:31:25 INFO  WaitHelper:107 - waiting for the element By.id: canvasfor time : 10
2021-08-09 01:31:38 INFO  TestBase:53 - snapshot taken at /Users/guptaabi/ProjectDir/xendit/src/main/resources/Screenshots/Result_09_08_2021_01_31_37.png
2021-08-09 01:33:49 INFO  TestBase:29 - Initialize Web driver: 1204088028
2021-08-09 01:33:49 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
